	gene_id	gene_name	location	lncRNA ID	simplified_biotype	gene_class	w0 TPM	w1 TPM	w2 TPM	w3 TPM	w4 TPM	w5 TPM	tcons_id	xloc_id	mappable_genomes	annotated_genomes	expressed_genomes
674	CATG00000002737.1		chr11:67387135-67406802 (+)		other	uncertain coding	3.755	0.72	0.56	1.11	1.345	0.765	TCONS_00093711	XLOC_010173	hg19	hg19	hg19
4197	CATG00000018514.1		chr14:35015931-35025610 (.)		lncRNA	lncRNA, intergenic	0.15	0.735	1.39	0.42	0.69	0.52	TCONS_00179074	XLOC_019396	hg19	hg19	hg19
7010	CATG00000032004.1		chr1:204463487-204465257 (+)		lncRNA	lncRNA, divergent	0.44	1.05	0.905	0.665	0.925	1.58	TCONS_00024978	XLOC_002555	hg19,panTro4,ponAbe2	hg19,panTro4,ponAbe2	hg19
8674	CATG00000038961.1		chr19:27731879-27757389 (+)		lncRNA	lncRNA, intergenic	0.33	3.96	5.6	7.275	12.345	7.78	TCONS_00285677	XLOC_030193	hg19	hg19	hg19
8675	CATG00000038961.1		chr19:27731879-27757389 (+)		lncRNA	lncRNA, intergenic	0.33	3.96	5.6	7.275	12.345	7.78	TCONS_00285676	XLOC_030193	hg19	hg19	hg19
8677	CATG00000038961.1		chr19:27731879-27757389 (+)		lncRNA	lncRNA, intergenic	0.33	3.96	5.6	7.275	12.345	7.78	TCONS_00285664	XLOC_030193	hg19	hg19	hg19
8678	CATG00000038961.1		chr19:27731879-27757389 (+)		lncRNA	lncRNA, intergenic	0.33	3.96	5.6	7.275	12.345	7.78	TCONS_00285669	XLOC_030193	hg19	hg19	hg19
8679	CATG00000038961.1		chr19:27731879-27757389 (+)		lncRNA	lncRNA, intergenic	0.33	3.96	5.6	7.275	12.345	7.78	TCONS_00285668	XLOC_030193	hg19	hg19	hg19
8680	CATG00000038961.1		chr19:27731879-27757389 (+)		lncRNA	lncRNA, intergenic	0.33	3.96	5.6	7.275	12.345	7.78	TCONS_00285678	XLOC_030193	hg19	hg19	hg19
8681	CATG00000038961.1		chr19:27731879-27757389 (+)		lncRNA	lncRNA, intergenic	0.33	3.96	5.6	7.275	12.345	7.78	TCONS_00285684	XLOC_030193	hg19	hg19	hg19
8682	CATG00000038961.1		chr19:27731879-27757389 (+)		lncRNA	lncRNA, intergenic	0.33	3.96	5.6	7.275	12.345	7.78	TCONS_00285675	XLOC_030193	hg19	hg19	hg19
8685	CATG00000038961.1		chr19:27731879-27757389 (+)		lncRNA	lncRNA, intergenic	0.33	3.96	5.6	7.275	12.345	7.78	TCONS_00285680	XLOC_030193	hg19	hg19	hg19
8686	CATG00000038961.1		chr19:27731879-27757389 (+)		lncRNA	lncRNA, intergenic	0.33	3.96	5.6	7.275	12.345	7.78	TCONS_00285672	XLOC_030193	hg19	hg19	hg19
8688	CATG00000038961.1		chr19:27731879-27757389 (+)		lncRNA	lncRNA, intergenic	0.33	3.96	5.6	7.275	12.345	7.78	TCONS_00285663	XLOC_030193	hg19	hg19	hg19
8689	CATG00000038961.1		chr19:27731879-27757389 (+)		lncRNA	lncRNA, intergenic	0.33	3.96	5.6	7.275	12.345	7.78	TCONS_00285671	XLOC_030193	hg19	hg19	hg19
8690	CATG00000038961.1		chr19:27731879-27757389 (+)		lncRNA	lncRNA, intergenic	0.33	3.96	5.6	7.275	12.345	7.78	TCONS_00285665	XLOC_030193	hg19	hg19	hg19
8691	CATG00000038961.1		chr19:27731879-27757389 (+)		lncRNA	lncRNA, intergenic	0.33	3.96	5.6	7.275	12.345	7.78	TCONS_00285670	XLOC_030193	hg19	hg19	hg19
8692	CATG00000038961.1		chr19:27731879-27757389 (+)		lncRNA	lncRNA, intergenic	0.33	3.96	5.6	7.275	12.345	7.78	TCONS_00285667	XLOC_030193	hg19	hg19	hg19
8693	CATG00000038961.1		chr19:27731879-27757389 (+)		lncRNA	lncRNA, intergenic	0.33	3.96	5.6	7.275	12.345	7.78	TCONS_00285666	XLOC_030193	hg19	hg19	hg19
9121	CATG00000040638.1		chr19:27731894-27740222 (-)		lncRNA	lncRNA, intergenic	0.0	0.37	0.895	1.57	1.13	0.98	TCONS_00303559	XLOC_031627	hg19	hg19	hg19
9129	CATG00000040638.1		chr19:27731894-27740222 (-)		lncRNA	lncRNA, intergenic	0.0	0.37	0.895	1.57	1.13	0.98	TCONS_00303562	XLOC_031628	hg19	hg19	hg19
9359	CATG00000041477.1		chr1:243893559-243927321 (.)		lncRNA	lncRNA, divergent	1.695	1.505	2.74	2.155	1.97	2.07	TCONS_00029673	XLOC_003103	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
